entry_time,exit_time,id,side,entry_px,exit_px,pnl_pct,pnl_abs,mfe_pct,exit_reason
2025-08-29 17:00:00+09:00,2025-08-29 18:24:00+09:00,1,-1,42590.56,42398.06,0.00451978090919678,192.5,0.006045940696717771,SL
2025-08-29 18:27:00+09:00,2025-08-29 18:54:00+09:00,2,1,42403.06,42410.56,0.00017687402748763886,7.5,0.00029479004581273144,SL
2025-08-29 18:55:00+09:00,2025-08-29 19:03:00+09:00,3,1,42408.06,42398.06,-0.0002358042315540961,-10.0,0.0004126574052196682,SL
2025-08-29 19:22:00+09:00,2025-08-29 19:33:00+09:00,4,-1,42393.06,42383.06,0.000235887666519001,10.0,0.00029485958314875126,SL
2025-08-29 19:34:00+09:00,2025-08-29 19:35:00+09:00,5,-1,42393.06,42395.56,-5.897191662975025e-05,-2.5,0.0,SL
2025-08-29 19:37:00+09:00,2025-08-29 19:38:00+09:00,6,-1,42393.06,42393.06,-0.0,-0.0,0.0,SL
2025-08-29 21:30:00+09:00,2025-08-29 21:31:00+09:00,7,1,42455.56,42430.56,-0.0005888510244594584,-25.0,0.0,STOP_LOSS
2025-08-29 21:58:00+09:00,2025-08-29 23:32:00+09:00,8,-1,42400.56,42143.06,0.006073032997677389,257.5,0.008962145782980225,SL
2025-08-29 23:37:00+09:00,2025-08-29 23:49:00+09:00,9,1,42153.06,42108.06,-0.0010675381573722051,-45.0,0.00023723070163826778,STOP_LOSS
2025-08-30 00:01:00+09:00,2025-08-30 00:05:00+09:00,10,-1,42103.06,42130.56,-0.0006531591765539133,-27.5,0.0,STOP_LOSS
2025-08-30 00:13:00+09:00,2025-08-30 00:29:00+09:00,11,1,42193.06,42158.06,-0.0008295203049980258,-35.0,0.00023700580142800736,STOP_LOSS
2025-09-01 08:50:00+09:00,2025-09-01 08:52:00+09:00,1,1,42287.72,42265.22,-0.0005320693572507574,-22.5,0.0,STOP_LOSS
2025-09-01 09:37:00+09:00,2025-09-01 09:41:00+09:00,2,-1,42222.72,42275.22,-0.0012434063935246238,-52.5,0.0,STOP_LOSS
2025-09-01 10:03:00+09:00,2025-09-01 10:04:00+09:00,3,-1,42267.72,42272.72,-0.00011829358195805214,-5.0,0.0,SL
2025-09-01 10:05:00+09:00,2025-09-01 10:10:00+09:00,4,-1,42252.72,42292.72,-0.0009466846158069824,-40.0,0.0,STOP_LOSS
2025-09-01 12:12:00+09:00,2025-09-01 12:19:00+09:00,5,1,41862.72,41842.72,-0.0004777520428677353,-20.0,5.9719005358466914e-05,STOP_LOSS
2025-09-01 16:16:00+09:00,2025-09-01 16:17:00+09:00,6,1,42227.72,42227.72,0.0,0.0,0.0,SL
2025-09-01 16:18:00+09:00,2025-09-01 16:58:00+09:00,7,1,42235.22,42250.22,0.00035515382659306616,15.0,0.0013022306975079092,SL
2025-09-01 16:49:00+09:00,2025-09-01 16:55:00+09:00,1,1,42277.72,42247.72,-0.0007095936110083515,-30.0,0.0,STOP_LOSS
2025-09-01 17:09:00+09:00,2025-09-01 17:52:00+09:00,2,1,42292.72,42297.72,0.00011822365645907854,5.0,0.0013004602210498638,SL
2025-09-01 17:55:00+09:00,2025-09-01 17:58:00+09:00,3,-1,42295.22,42315.22,-0.0004728666738227156,-20.0,0.0,STOP_LOSS
2025-09-01 18:57:00+09:00,2025-09-01 19:05:00+09:00,4,1,42325.22,42330.22,0.00011813287680489315,5.0,0.0002362657536097863,SL
2025-09-01 20:02:00+09:00,2025-09-01 20:13:00+09:00,5,1,42355.22,42347.72,-0.00017707380577883906,-7.5,0.00023609840770511876,SL
2025-09-01 20:14:00+09:00,2025-09-01 20:21:00+09:00,6,1,42357.72,42345.22,-0.0002951055911413551,-12.5,5.902111822827102e-05,STOP_LOSS
2025-09-01 20:52:00+09:00,2025-09-01 20:56:00+09:00,7,-1,42330.22,42345.22,-0.00035435676923011505,-15.0,0.0,STOP_LOSS
2025-09-01 22:31:00+09:00,2025-09-01 22:33:00+09:00,8,-1,42280.22,42300.22,-0.00047303443548780017,-20.0,0.0,STOP_LOSS
2025-09-01 22:53:00+09:00,2025-09-01 22:55:00+09:00,9,1,42377.72,42360.22,-0.0004129528440888278,-17.5,0.0,STOP_LOSS
2025-09-02 09:01:00+09:00,2025-09-02 09:03:00+09:00,1,1,42350.9,42303.4,-0.0011215818317910598,-47.5,0.0,STOP_LOSS
2025-09-02 09:10:00+09:00,2025-09-02 09:14:00+09:00,2,-1,42278.4,42333.4,-0.0013009006963366637,-55.0,0.0,STOP_LOSS
2025-09-02 09:43:00+09:00,2025-09-02 09:45:00+09:00,3,-1,42263.4,42338.4,-0.0017745851020031515,-75.0,0.0,STOP_LOSS
2025-09-02 09:48:00+09:00,2025-09-02 09:51:00+09:00,4,1,42378.4,42343.4,-0.0008258924357691654,-35.0,0.0,STOP_LOSS
2025-09-02 10:26:00+09:00,2025-09-02 10:28:00+09:00,5,-1,42303.4,42328.4,-0.0005909690474051731,-25.0,0.0,STOP_LOSS
2025-09-02 10:37:00+09:00,2025-09-02 10:50:00+09:00,6,1,42418.4,42370.9,-0.0011197970691963865,-47.5,0.001060860381343945,STOP_LOSS
2025-09-02 11:00:00+09:00,2025-09-02 11:29:00+09:00,7,-1,42265.9,42278.4,-0.0002957466894115587,-12.5,0.0006506427167054292,SL
